Stations: Seattle Duwamish Vly,
QMUs: Light Scatter eco_9003_2 | Pm2.5 MetOne Bam | Pm2.5 Nephelometer,
Aggregates: 1-Hour Average,
Query Start Date: 5/20/2026 ,
Query End Date: 6/1/2026,
File Creation Date: 6/1/2026,
NOTE: PSCAA developed aggregates in 2017 using standards applicable at that time,,

Observation Time,Seattle Duwamish Vly - LightScatEc2 - bscat10 e-4 - 1Hr Avg,Seattle Duwamish Vly - Pm25MetOneBam - ug/m3 - 1Hr Avg,Seattle Duwamish Vly - Pm25Neph - ug/m3 - 1Hr Avg
5/22/2026 8:00:00 PM,0.0870000000,3.0000000000,2.5000000000
5/22/2026 9:00:00 PM,0.1120000000,3.7000000000,3.2000000000
5/22/2026 10:00:00 PM,0.1280000000,2.5000000000,3.6000000000
5/22/2026 11:00:00 PM,0.1570000000,7.5000000000,4.4000000000
5/23/2026 12:00:00 AM,0.1300000000,5.6000000000,3.7000000000
5/23/2026 1:00:00 AM,0.1150000000,2.3000000000,3.3000000000
5/23/2026 2:00:00 AM,0.1040000000,3.7000000000,3.0000000000
5/23/2026 3:00:00 AM,0.0920000000,3.7000000000,2.6000000000
5/23/2026 4:00:00 AM,0.0910000000,0.7000000000,2.6000000000
5/23/2026 5:00:00 AM,0.0830000000,1.3000000000,2.4000000000
5/23/2026 6:00:00 AM,0.0760000000,2.2000000000,2.2000000000
5/23/2026 7:00:00 AM,0.0710000000,2.2000000000,2.0000000000
5/23/2026 8:00:00 AM,0.0870000000,2.2000000000,2.5000000000
5/23/2026 9:00:00 AM,0.0720000000,1.7000000000,2.1000000000
5/23/2026 10:00:00 AM,0.0820000000,1.2000000000,2.3000000000
5/23/2026 11:00:00 AM,0.0790000000,3.4000000000,2.3000000000
5/23/2026 12:00:00 PM,0.0890000000,2.7000000000,2.5000000000
5/23/2026 1:00:00 PM,0.1010000000,2.5000000000,2.9000000000
5/23/2026 2:00:00 PM,0.1030000000,2.5000000000,2.9000000000
5/23/2026 3:00:00 PM,0.1050000000,2.3000000000,3.0000000000
5/23/2026 4:00:00 PM,0.1090000000,2.6000000000,3.1000000000
5/23/2026 5:00:00 PM,0.1210000000,5.9000000000,3.4000000000
5/23/2026 6:00:00 PM,0.1340000000,5.8000000000,3.8000000000
5/23/2026 7:00:00 PM,0.1550000000,4.3000000000,4.4000000000
5/23/2026 8:00:00 PM,0.1870000000,4.8000000000,5.3000000000
5/23/2026 9:00:00 PM,0.1760000000,6.2000000000,5.0000000000
5/23/2026 10:00:00 PM,0.2190000000,6.5000000000,6.2000000000
5/23/2026 11:00:00 PM,0.2290000000,7.7000000000,6.5000000000
5/24/2026 12:00:00 AM,0.2010000000,6.7000000000,5.7000000000
5/24/2026 1:00:00 AM,0.1630000000,7.0000000000,4.6000000000
5/24/2026 2:00:00 AM,0.1480000000,5.5000000000,4.2000000000
5/24/2026 3:00:00 AM,0.1380000000,5.6000000000,3.9000000000
5/24/2026 4:00:00 AM,0.1700000000,7.9000000000,4.8000000000
5/24/2026 5:00:00 AM,0.1880000000,10.4000000000,5.3000000000
5/24/2026 6:00:00 AM,0.2040000000,8.8000000000,5.8000000000
5/24/2026 7:00:00 AM,0.1990000000,8.6000000000,5.6000000000
5/24/2026 8:00:00 AM,0.1840000000,6.4000000000,5.2000000000
5/24/2026 9:00:00 AM,0.1700000000,5.9000000000,4.8000000000
5/24/2026 10:00:00 AM,0.1940000000,4.8000000000,5.5000000000
5/24/2026 11:00:00 AM,0.2030000000,7.8000000000,5.7000000000
5/24/2026 12:00:00 PM,0.2010000000,7.4000000000,5.7000000000
5/24/2026 1:00:00 PM,0.1750000000,6.5000000000,4.9000000000
5/24/2026 2:00:00 PM,0.1720000000,3.6000000000,4.9000000000
5/24/2026 3:00:00 PM,0.1500000000,5.2000000000,4.3000000000
5/24/2026 4:00:00 PM,0.1250000000,3.8000000000,3.6000000000
5/24/2026 5:00:00 PM,0.1430000000,4.2000000000,4.1000000000
5/24/2026 6:00:00 PM,0.1610000000,3.9000000000,4.6000000000
5/24/2026 7:00:00 PM,0.1900000000,5.9000000000,5.4000000000
5/24/2026 8:00:00 PM,0.2410000000,7.8000000000,6.8000000000
5/24/2026 9:00:00 PM,0.1910000000,8.7000000000,5.4000000000
5/24/2026 10:00:00 PM,0.1250000000,5.2000000000,3.6000000000
5/24/2026 11:00:00 PM,0.0750000000,2.3000000000,2.1000000000
5/25/2026 12:00:00 AM,0.0610000000,4.2000000000,1.7000000000
5/25/2026 1:00:00 AM,0.0790000000,4.9000000000,2.3000000000
5/25/2026 2:00:00 AM,0.0860000000,2.1000000000,2.5000000000
5/25/2026 3:00:00 AM,0.0920000000,2.1000000000,2.6000000000
5/25/2026 4:00:00 AM,0.1000000000,4.0000000000,2.8000000000
5/25/2026 5:00:00 AM,0.1070000000,4.0000000000,3.0000000000
5/25/2026 6:00:00 AM,0.1270000000,3.2000000000,3.6000000000
5/25/2026 7:00:00 AM,0.1320000000,2.4000000000,3.7000000000
5/25/2026 8:00:00 AM,0.1270000000,3.0000000000,3.6000000000
5/25/2026 9:00:00 AM,0.1290000000,2.9000000000,3.6000000000
5/25/2026 10:00:00 AM,0.1230000000,7.0000000000,3.5000000000
5/25/2026 11:00:00 AM,0.0730000000,5.9000000000,2.1000000000
5/25/2026 12:00:00 PM,0.0650000000,2.5000000000,1.9000000000
5/25/2026 1:00:00 PM,0.0860000000,1.8000000000,2.4000000000
5/25/2026 2:00:00 PM,0.0780000000,3.9000000000,2.2000000000
5/25/2026 3:00:00 PM,0.0830000000,4.9000000000,2.4000000000
5/25/2026 4:00:00 PM,0.0910000000,4.1000000000,2.6000000000
5/25/2026 5:00:00 PM,0.0990000000,4.1000000000,2.8000000000
5/25/2026 6:00:00 PM,0.0830000000,4.8000000000,2.4000000000
5/25/2026 7:00:00 PM,0.0490000000,2.6000000000,1.4000000000
